	CTR19A_CD140a	CTR19B_CD140a	CTR19C_CD140a	CTR19F_CD140a	HD20C_CD140a	HD20D_CD140a	HD20E_CD140a	HD20F_CD140a	HD20G_CD140a
ENSG00000135736	3.18	4.17	6.29	1.85	4.47	1.73	2.96	2.57	0.85
ENSG00000135740	3.16	5.45	5.84	5.45	6.38	8.68	4.24	0.95	8.81
ENSG00000135744	12.81	4.09	5.16	35.39	2.52	5.76	21.9	5.17	4.82
ENSG00000135747	0.18	0.23	0.6	0.37	1.05	0.82	0.66	0.65	0.38
ENSG00000135749	18.15	25.74	18.7	24.41	18.99	10.05	16.62	6.01	11.6
ENSG00000135750	0.59	0.87	4.76	1.8	0.89	0	0.82	0.37	0.04
ENSG00000135763	5.93	7.11	7.08	6.88	6.42	10.56	9.73	10.27	8.89
ENSG00000135766	34.73	15.13	17.41	30.12	17.31	17.72	25.65	34.3	19.85
ENSG00000135773	0.82	0.06	0.63	0.02	0.84	0.45	0.09	0.11	0.05
ENSG00000135775	30.66	22.77	19.87	24.07	23.93	28.25	31.09	27.2	30.56
ENSG00000135776	16.5	16.92	14.33	15.65	16.37	20.79	21.96	16.22	27.31
ENSG00000135778	53.7	39.13	43.8	51.81	38.14	38.08	39.85	57.73	36.71
ENSG00000135801	21.27	15.05	16.8	22.23	19.24	24.33	24.86	23.56	29.43
ENSG00000135821	173.71	146.47	221.65	169.1	326.85	268.62	343.55	406.43	227.57
ENSG00000135823	30.44	19.36	17.99	25.71	24.83	29.95	29.37	35.55	33.45
ENSG00000135824	6.46	2.47	4.35	5.01	13.46	23.14	13.78	18.34	19.71
ENSG00000135828	1.1	1.06	2.12	1.98	2.04	1.51	1.65	1.28	1.13
ENSG00000135829	239.04	193.13	197.18	192.44	244.46	214.12	301.79	281.74	235.71
ENSG00000135835	1.98	3.8	3.08	2.4	2.59	3.82	3	0.96	3.53
ENSG00000135837	25.46	10.99	13.54	24.77	14.96	19.36	24.99	19.22	22.92
ENSG00000135838	6.49	7.04	4.07	4.31	5.72	4.71	5.11	1.38	3.82
ENSG00000135842	1.53	6.44	10.25	4.66	7.38	1.35	6.12	2.05	1.51
ENSG00000135845	28.42	21.06	26.42	26.53	20.81	16.67	26.84	27.83	20
ENSG00000135862	79.21	100.51	133.18	69.36	76.53	23.12	90.82	64.22	22
ENSG00000135870	10.84	9.56	8.13	11.28	11.96	11.84	11.99	13.14	17.99
ENSG00000135898	0	0.69	0	0.06	0	0	0	0	0
ENSG00000135899	2.64	4.06	6.44	1.96	6.99	5.36	9.55	4.4	3.9
ENSG00000135900	26.31	20.32	23.12	24.68	19	17.5	22.1	28.91	21.74
ENSG00000135902	0	0	0.33	0.05	0.23	0	0	0	0.06
ENSG00000135903	0.72	3.23	1.47	0.21	0.34	0	0.37	0.2	0.03
ENSG00000135905	92.34	17.2	21.22	82.82	2.29	0.44	1.61	0.46	0.17
ENSG00000135912	26.75	34.91	35.28	35.91	41.23	37.9	48.76	15.14	40.17
ENSG00000135913	8.14	4.25	5.28	8.99	8.85	11.45	11.02	15.18	12.74
ENSG00000135914	0.34	0	0.15	0.18	0.08	0	0.18	0.03	0.08
ENSG00000135916	500.44	278.87	374.16	428.08	230.27	141.55	292.36	212.18	107.16
ENSG00000135917	0.45	0.44	0.26	0.97	0.03	0	0.35	0.08	0
ENSG00000135919	208.79	53.3	68.48	127.48	33.03	11.02	40.83	24.45	9.53
ENSG00000135924	128.97	113.87	94.82	146.74	116.59	118.4	125.77	62.31	87.15
ENSG00000135925	0.04	0.11	3.49	0.2	0.05	0	0.16	0.02	0.02
ENSG00000135926	3.05	7.04	16.21	6.43	4.32	1.41	7.83	2.22	1.7
ENSG00000135929	3.39	6.04	7.02	5.81	11.98	9.26	12.49	5.54	7.22
ENSG00000135930	85.97	64.34	78.92	58.38	78.32	78.52	68.72	78.69	59.75
ENSG00000135931	18.4	12.76	14.37	14.37	11.94	10.49	13.36	12.53	9.27
ENSG00000135932	69.17	31.4	32.54	58.05	42.83	51.28	55.59	70.7	53.66
ENSG00000135940	135.54	111.17	126.29	101.04	100.11	94.49	93.78	133.48	78.61
ENSG00000135945	55.83	64.87	40.5	54.9	51.74	61.46	68.51	23.31	86.62
ENSG00000135951	3.99	3.31	4.82	4.27	1.18	2.53	4.01	1.34	1.28
ENSG00000135953	14.52	14.16	10.23	10.61	18.3	16.96	16.17	13.96	19.16
ENSG00000135956	27.42	19.38	25.54	25.51	22.05	21.37	31.42	33.72	19.12
ENSG00000135960	0	0	0	0.01	0	0	0.07	0.01	0.01
ENSG00000135966	14.42	10.82	10.53	13.35	13.69	15.83	15.48	16.17	13.65
ENSG00000135968	30.25	14.09	18.28	24.25	24.66	15.77	22.48	8.55	20.33
ENSG00000135972	30.9	28.61	30.69	26.68	29.67	28.43	30.39	22.25	31.33
ENSG00000135973	2.44	0.11	0.19	2.84	0	0.12	0.08	0.15	0.03
ENSG00000135974	19.51	9.28	11.74	18.2	11.61	16.06	17.35	19.66	15.64
ENSG00000135976	29.7	27.8	17.88	28.31	34.49	39.63	33.12	2.81	57.29
ENSG00000135999	38.98	14.67	19.9	30.45	26.32	28.31	33.57	40.24	29.19
ENSG00000136002	24.97	21.89	12.63	48.47	29.29	14.39	22.96	5.1	14.13
ENSG00000136003	80.73	72.7	76.54	71.66	75.86	71.16	85.99	57.12	82.03
ENSG00000136010	4.02	3.29	6.62	9.62	5	8.9	6.99	5.06	10.45
ENSG00000136011	0.3	0.02	0.01	0.14	0.28	0	0.45	0	0
ENSG00000136014	0.88	0.86	1.42	0.63	0.62	0.07	1.08	0.84	0.2
ENSG00000136021	70.34	46.01	39.74	52.3	52.87	61.84	67.35	64.6	80.4
ENSG00000136026	64.48	63.21	111.09	49.01	67.08	54.65	71.28	72.08	51.26
ENSG00000136040	9.76	9.45	8.08	7.33	14.67	46.1	43.74	73.21	51.81
ENSG00000136044	93.16	86.72	62.88	86.39	104.89	112.83	123.98	73.86	145.78
ENSG00000136045	53.01	38.35	42.41	44.66	39.84	51.85	54.89	57.46	59.2
ENSG00000136048	2.65	7.12	6.24	4.41	3.74	4.82	10.2	6.67	6.4
ENSG00000136051	33.75	28.87	27.41	33.02	29.39	34.95	34.53	19.71	42.84
ENSG00000136052	10.98	4.21	6.43	9.88	3.08	2.39	6.51	3.86	2.42
ENSG00000136059	0.38	0.62	0.4	0.98	1.38	0.7	0.42	0.1	0.2
ENSG00000136068	31.63	32.17	46.22	30.87	31.01	13.29	17.78	14.45	13.2
ENSG00000136098	20.14	40.83	25.51	19.1	27	40.86	24.88	15.07	36.88
ENSG00000136099	2.21	1.82	2.25	3	4.93	0.42	0.58	2.82	0.85
ENSG00000136100	44.23	43.96	29.83	37.07	40.24	42.07	46.56	18.04	68.75
ENSG00000136104	31.36	32.99	48.08	31.29	55.69	95.01	86.35	94.01	100.3
ENSG00000136108	95.57	49.64	50.16	64.21	80.42	90.71	108.36	153.05	96.3
ENSG00000136110	0.19	1.22	0.47	0.97	0.59	0.66	0.65	0.9	0.19
ENSG00000136111	2.61	1.47	3.44	2.28	2.03	1.64	2.33	1.35	1.77
ENSG00000136114	3.27	3.84	4.35	2.1	2.73	1.43	4.06	0.92	1.31
ENSG00000136122	9.63	12.27	9.96	9.2	18.07	17.76	17.76	19.2	20.14
ENSG00000136141	10.7	10.9	8.85	7.59	16.47	14.81	13.81	13.21	18.37
ENSG00000136143	51.49	27.5	33.64	45.59	34.69	32.05	47.61	51.59	34.1
ENSG00000136144	33.59	22.6	22.41	37.49	26.95	30.04	35.82	29.52	37.48
ENSG00000136146	68.86	53.71	59.95	54.23	58.14	66.45	74.23	68.08	86.53
ENSG00000136147	7.01	9.6	15.34	11.86	9.11	4.07	5.83	4.29	8.72
ENSG00000136149	1.21	0.54	0.73	1.32	0.82	0.92	0.61	1.86	1.74
ENSG00000136152	22.08	18.02	21.63	22.75	19.8	20.32	23.85	12.68	27.01
ENSG00000136153	13.21	20.27	27.97	12.11	29.29	21.82	27.69	11.32	21.15
ENSG00000136155	0	0.27	0	0.04	0	0.19	0.06	0.14	0.1
ENSG00000136156	560.62	251.01	432.89	421.3	291.94	195.86	427.29	316.75	225.87
ENSG00000136158	50.77	53.83	46.08	54.94	71.88	24.78	65.13	43.76	21.12
ENSG00000136159	9.93	12.54	11.38	9.46	15.72	15.12	12.8	23.32	13.37
ENSG00000136160	109.22	32.13	45.52	110.3	49.48	16.49	72.8	36.27	13.04
ENSG00000136161	15.22	11.21	8.79	11.41	12.81	15.75	12.11	14.23	15.71
ENSG00000136167	0.3	0	0	0.16	0	0.04	0	0	0
ENSG00000136169	7.83	4.62	4.88	6.92	5.51	4.88	6.09	4.57	6.86
ENSG00000136193	100.87	58.28	66.34	120.27	74.02	57.86	111.27	151.44	51.77
ENSG00000136197	4.96	3.22	5.91	4.72	4.11	2.48	4.74	3.25	4.89
ENSG00000136205	35.57	14.07	14.98	50.52	10.16	5.37	8.42	6.68	4.4
ENSG00000136206	0.21	0.31	1.06	1.56	0.73	0.95	0.58	0.21	0.43
ENSG00000136213	11.06	5.08	8.33	5.5	5.44	6.3	5.72	6.91	3.2
ENSG00000136231	65.82	41.53	49.21	62.72	50.41	43.27	52.49	40.86	53.59
ENSG00000136235	1.34	8.72	5.81	3.75	1.83	1.22	1.28	1.19	0.47
ENSG00000136237	5.67	3.16	6.03	3.71	5.83	1.04	1.12	3.08	1.52
ENSG00000136238	272.78	189.79	245.01	238.54	212.53	214.15	260.45	311.18	219.98
ENSG00000136240	105.92	83.33	113.85	88.44	81.46	67.36	96.98	106.95	72.11
ENSG00000136243	111.18	41.29	51.76	147.61	32.91	41.24	37.36	22.15	52
ENSG00000136244	0	0.28	0	0.2	0.42	0	0.2	0	0
ENSG00000136247	27.27	43.71	45.42	44.84	36.88	33.2	38.92	40.89	38.21
ENSG00000136250	2.59	0.88	0.56	1.86	0.24	0.8	0.44	0.22	0.22
ENSG00000136261	91.43	38.76	44.24	82.07	35.2	40.16	38.49	61.13	50.43
ENSG00000136267	12.31	0.95	1.95	9.24	0.38	2.02	1.59	2.57	0.63
ENSG00000136270	43.15	41.56	45.08	40.82	51.52	42.68	49.58	36.68	35.36
ENSG00000136271	93.46	134.57	103.75	83.17	105.34	118.37	107.62	37.38	108.35
ENSG00000136273	17.07	10.71	11.36	13.47	11.42	10.63	11.8	13.04	11.03
ENSG00000136274	24.17	38.03	22.45	30.22	46.74	39.26	40.28	31.39	40.52
ENSG00000136275	0	0	0	0	0	0	0	0	0
ENSG00000136279	84.53	75.1	62.43	69.72	84.17	65.33	72.15	70.13	55.85
ENSG00000136280	30.87	45.46	40.29	26.63	55.51	55.74	46.61	50.17	44.18
ENSG00000136286	0.08	0.11	0	0.22	0	0.05	0	0	0.01
ENSG00000136295	89.86	122.48	119.01	61.4	168.27	127.45	121.36	163.09	72.26
ENSG00000136297	3.3	1.35	0.63	5.74	0.47	2.86	2.24	1.97	0.58
ENSG00000136305	5.06	6.36	4.41	5.84	4.47	3.61	7.5	5.11	4.78
ENSG00000136315	0	0	0	0	0	0	0	0	0
ENSG00000136319	10.95	5.74	6.97	12.69	10.72	13.48	15.24	22.64	12.4
ENSG00000136327	0.09	0	0	0	0	0.13	0	0	0
ENSG00000136352	10.33	16.2	7.21	9.68	0.55	1.61	1.8	2.69	1.26
ENSG00000136367	10.99	14.03	8.23	13.06	14.04	21.26	10.69	9.36	10.69
ENSG00000136371	6.02	5.04	8.84	5.36	8.53	0.76	3.74	3.13	3.96
ENSG00000136378	15.4	31.7	21.52	10.57	45.12	37.29	26.62	11.28	21.97
ENSG00000136379	19.46	14.4	12.24	17.41	16.36	15.04	21.02	25.37	17.26
ENSG00000136381	42.2	31.18	25.62	43.65	33.88	47.97	56.97	56.49	53.28
ENSG00000136383	0.33	0.33	0.26	0.26	0.13	0.16	0.53	0.03	0.2
ENSG00000136404	2.38	0.35	1.12	2.16	2.67	3.21	3.1	2.53	4.56
ENSG00000136425	13.57	13.26	17.24	11.94	19.33	16.9	19.01	30.39	11.68
ENSG00000136436	58.19	49.29	62.57	60.7	52.39	47.02	76.22	59.05	59.74
ENSG00000136444	46.74	39.73	30.87	40.93	42.02	37.11	43.93	18.16	40.61
ENSG00000136448	75.37	64.23	66.72	82.9	77.96	65.79	76.82	62.16	59.65
ENSG00000136449	0	0	0.19	0.01	0.35	0.24	0	0	0.09
ENSG00000136450	233.41	173.81	161.73	168.66	214.19	241.39	216.7	259.61	248.75
ENSG00000136451	115.86	65.89	65.22	99.31	101.07	121.05	114.75	139.7	116.36
ENSG00000136457	0.13	0.49	0.57	0.5	0.77	0.09	0.59	0.09	0.18
ENSG00000136463	11.69	16.11	19.31	15.34	18.29	15.89	18.19	18.13	14.2
ENSG00000136478	20.35	14.55	18.9	19.08	13.22	8.02	24.54	12.83	9.38
ENSG00000136485	108.16	48.96	55.84	92.22	72.63	89.63	83.87	163.42	66.92
ENSG00000136487	0	0	0	0	0	0	0	0	0
ENSG00000136488	0	0	0	0	0	0	0	0	0
ENSG00000136490	38.93	57	48.08	21.01	83.22	75.94	41.67	43.64	38.91
ENSG00000136492	6.85	11.99	10.12	9.35	12.73	14.64	14.98	14.52	18.77
ENSG00000136504	90.66	48.03	48.82	71.19	72.45	72.61	100.56	127.96	77.76
ENSG00000136514	0	0	0	0.12	0	0	0.33	0	0.14
ENSG00000136518	66.27	92.29	75.3	57.3	91.21	107.13	130.77	144.84	126.68
ENSG00000136521	143.24	91.05	104.66	128.87	99.07	76.25	124.26	127.26	101.7
ENSG00000136522	59.77	57.63	58.2	44.67	59.33	46.17	57.92	65.74	61.93
ENSG00000136527	209.77	165.44	192.73	178.43	240.83	246.5	243.5	277.89	257.15
ENSG00000136531	7.58	2.63	2.11	9.98	0.9	0.84	2.23	0.62	1.28
ENSG00000136535	0.01	0.05	0	0.01	0.02	0	0.08	0.06	0
ENSG00000136536	100.95	65.62	81.22	86.62	88.17	96.15	124.19	108.86	118.64
ENSG00000136541	0.46	0.18	3.58	0.34	0.27	0	0.47	0.07	0.1
ENSG00000136542	0.78	1.8	2.56	2.66	1.44	0.29	1.05	0.21	0.17
ENSG00000136546	1.77	1.67	0.59	1.06	0.04	0.02	0.13	0.14	0
ENSG00000136560	33.39	34.97	32.72	34.15	38.09	49.17	56.84	44.71	50.24
ENSG00000136573	0	0	0	0	0	0	0	0	0
ENSG00000136574	0	0.27	0	0	0	0	0	0	0
ENSG00000136603	30.67	12.45	17.12	26.53	14.72	17.1	19.06	19.09	22.08
ENSG00000136628	79.74	70.62	73.04	73.95	55.15	55.35	92.02	84.16	73.81
ENSG00000136630	0	0.58	4.5	0.08	0.98	0.22	0.05	0.15	0.04
ENSG00000136631	95.39	69.15	77.79	82.5	82.69	89.42	111.96	69.39	109.71
ENSG00000136634	0	0	0	0	0	0	0	0	0
ENSG00000136636	63.74	60.37	54.47	66.69	77.6	75.47	88.84	73.64	97.05
ENSG00000136643	18.26	9.87	12.14	15.04	13.05	12.48	18.11	15.09	16.72
ENSG00000136682	46.73	40.62	35.84	42.5	46.91	39.18	40.81	28.93	44.57
ENSG00000136688	0	0	0.4	0.16	0.47	0.7	0.09	0	0.25
ENSG00000136689	0	0	0	0	0	0	0	0	0.13
ENSG00000136694	0	0	0	0	0	0	0	0	0
ENSG00000136695	0	0	0	0	0	0	0	0	0
ENSG00000136696	0	0	0	0	0	0	0	0	0
ENSG00000136697	0	0	0	0	0	0	0	0	0
ENSG00000136698	0.19	0	0.04	0.66	0	0	0	0.04	0
ENSG00000136699	51.76	90.33	56.11	48	83.26	92.79	79.38	49.72	75.55
ENSG00000136709	36.69	30.52	26.3	32.63	24.28	34.76	32.99	35.21	41.46
ENSG00000136710	39.15	21.07	24.82	32.93	24.95	31.73	30.84	33.12	30.45
ENSG00000136715	22.33	17.12	18.67	20.19	21.9	26.05	30.1	28.27	22.68
ENSG00000136717	67.88	30.87	31.35	58.1	31.02	30.87	24.43	16.15	19.69
ENSG00000136718	35.37	36.61	33.35	32.51	36.4	39.46	39.56	35.87	33.54
ENSG00000136720	25.51	28.13	30.39	13.8	40.84	24.24	36.69	34.74	16.55
ENSG00000136731	36.68	19.79	23.87	34.09	21.77	24.37	33.73	48.07	32.83
ENSG00000136732	0.69	2.18	1.13	1.08	0.78	0.7	0.5	1.86	0
ENSG00000136738	40.04	17.16	13.76	30.55	29.47	25.67	29.64	37.28	28.09
ENSG00000136750	106.6	146.98	155.02	39.83	157.44	271.23	141.8	167.68	363.97
ENSG00000136754	43.5	37.25	40.34	40.68	47.42	43.48	63.28	53.52	43.41
ENSG00000136758	102.28	72.1	82.39	89.18	90.25	93.71	108.49	115.36	102.33
ENSG00000136770	57.47	34.33	40.32	27.28	38.8	24.2	40.2	30.93	24.82
ENSG00000136783	11.42	8.59	16.99	8.45	18.77	11.94	15.76	16.42	11.6
ENSG00000136802	34.2	24.57	30.66	24.45	33.16	34.18	40.84	48.22	22.98
ENSG00000136807	77.96	126.3	81.06	69.54	102.6	113.7	86.59	47.84	103.15
ENSG00000136810	114.47	117.32	158.33	124.15	114.66	112.8	110.22	139.2	143.65
ENSG00000136811	50.46	55.28	57.58	42.62	66.74	65.33	62.84	37	62.25
ENSG00000136813	41.05	45.98	46.73	40.81	43.98	52.58	53.24	44.84	63.18
ENSG00000136816	23.89	18.5	18.68	20.83	19.21	18.12	22.92	18.41	17.31
ENSG00000136819	79.77	47.83	50.89	56.84	69.73	87.4	82.38	86.12	73.85
ENSG00000136824	27.57	19.91	22	24.85	35.19	35.87	49.86	62.21	42.91
ENSG00000136826	1.11	1.38	7.16	1.32	3.53	0.19	2.26	0.29	0.27
ENSG00000136827	37.78	31.36	28.88	28.59	31.85	33.23	43.19	44.64	30.37
ENSG00000136828	46.61	26.61	16.69	35.63	25.94	35.74	30.9	23.57	38.07
ENSG00000136830	29.16	40.88	64.7	26.41	54.34	25.75	38.94	23.36	17.09
ENSG00000136834	0	0	0	0	0	0	0	0	0
ENSG00000136839	0	0	0	0.02	0	0	0	0	0
ENSG00000136840	6.15	8.15	8.41	5.83	6.22	3.46	7.14	5.86	3.19
ENSG00000136842	56.2	23.45	27.65	59.8	14.54	12.1	11.93	9.32	14.36
ENSG00000136848	27.04	19.86	22.89	20.3	25.72	26.03	27.09	26.64	16.33
ENSG00000136854	67.83	49.29	34.04	71.33	47.26	61.91	55.29	65.25	59.75
ENSG00000136856	14.05	23.85	21.24	13.46	29.15	19.83	25.65	13.33	16.92
ENSG00000136859	123.87	35.84	44.95	128.9	24.76	26.76	44.53	36.58	27.02
ENSG00000136861	64.67	101.34	80.14	70.83	105.19	128.15	138.98	70.55	131.96
ENSG00000136866	20.31	12.64	11.13	18.25	18.84	21.18	15.09	13.97	27.38
ENSG00000136867	1.38	1.15	2.85	2.29	1.84	2.36	3.16	0.93	1.21
ENSG00000136868	15.16	11.94	14.14	14.83	12.62	12.43	17.94	21.19	14.03
ENSG00000136869	1.45	1.66	6.78	6.46	0.32	0.17	0.33	0.85	0
ENSG00000136870	26.5	14.05	16.57	23.22	21.7	29.49	25.76	24.16	34.87
ENSG00000136872	0.62	0.61	0.05	0.61	0.05	0.32	0.28	0.14	0.28
ENSG00000136874	13.92	8.78	12.69	15.26	10.2	8.38	14.62	9.94	9.22
ENSG00000136875	17.77	20.16	21.67	17.49	23.01	29.33	28.19	32.47	25.78
ENSG00000136877	35.54	55.87	45.8	27.06	52.68	50.55	54.95	37.52	41.2
ENSG00000136878	34.28	39.82	36.51	32.66	33.71	48.25	35.93	18.06	34.81
ENSG00000136881	0.6	0.47	0.16	0.76	0.06	0.29	0.17	0.02	0.02
ENSG00000136883	0	0.74	0.31	0.11	0	0	0.05	0	0
ENSG00000136888	178.85	108.66	123.19	121.39	136.38	141.79	143.19	182.58	140.04
ENSG00000136891	30.52	22.6	26.04	27.15	23.51	29.09	30.85	27.93	31.95
ENSG00000136895	18.24	21.83	16.73	20.38	21.59	22.03	26	12.47	25.91
ENSG00000136897	19.58	10.94	13.05	15.33	11.14	13.21	13.24	16.12	16.36
ENSG00000136908	40.59	34.82	43.29	38.89	31.88	34.78	38.73	36.09	29.7
